,actual,forecast,abs_error
2024-01-01,1370.743302,1352.131157,18.612145000000055
2024-02-01,1401.303058,1146.6795328943363,254.6235251056637
2024-03-01,1442.917854,1282.4751226217213,160.44273137827872
2024-04-01,1473.157825,1415.7870848341079,57.37074016589213
2024-05-01,1527.547575,1421.481534969792,106.06604003020811
2024-06-01,1603.249643,1572.1901447552536,31.059498244746464
2024-07-01,1566.832797,1348.4584415946792,218.37435540532078
2024-08-01,1530.407614,1235.6402557907406,294.7673582092593
2024-09-01,1498.89207,1217.9357330786813,280.9563369213188
2024-10-01,1506.263154,1228.6507511794382,277.6124028205618
2024-11-01,1581.085986,1304.2134782977253,276.8725077022748
2024-12-01,1591.55761,1409.4540887488251,182.10352125117493
2025-01-01,1643.44917,1571.1207783219065,72.32839167809357
2025-02-01,1848.302187,1898.3589459417528,50.05675894175283
2025-03-01,1787.449125,1887.17128024675,99.72215524674994
2025-04-01,1463.368975,1914.1111726150648,450.7421976150647
2025-05-01,1588.395326,1842.63665028926,254.24132428925986
2025-06-01,1667.883046,1681.0046158487723,13.121569848772424
2025-07-01,1632.842055,1673.0926677728291,40.25061277282907
2025-08-01,1456.397904,1503.6793993830697,47.281495383069796
2025-09-01,1634.041752,1187.7788853797015,446.2628666202986
2025-10-01,1654.065972,1153.1203898357505,500.9455821642496
2025-11-01,1705.957652,1179.3529347139063,526.6047172860938
2025-12-01,1506.09334,1290.7369468460793,215.35639315392064
