component,ecos__base_rate,ecos__cd_91d_rate,ecos__cpi_housing,ecos__mortgage_rate_new,ecos__unemployment_rate,reb__apt_jeonse_avg_price,reb__apt_jeonse_supply_demand,reb__apt_monthly_rent_supply_demand,reb__apt_sale_index,reb__apt_sale_supply_demand,policy__dsr_regime,policy__dti_regime,policy__ltv_regime,policy__real_estate_policy_regime,policy__capital_gains_tax_regime,policy__adjustment_target_area_regime,policy__comprehensive_real_estate_tax_regime,policy__acquisition_tax_regime,policy__speculative_overheated_district_regime,policy__speculative_zone_regime
PC1,0.42698699592911704,0.3691866301532003,0.09576196807385423,0.3126453492090546,-0.2719295717964597,-0.037050095185322623,-0.2113819894238842,-0.2765097006752508,-0.05123353256066159,-0.26835337265417214,-0.062044478987584,0.07988246656420202,-0.09853860321400985,-0.1562953692258342,-0.21107298039802572,-0.34605368781841617,-0.17086151237777136,0.013523919304126063,-0.20325216072363253,-0.15494296787719708
PC2,0.047458261200379076,0.03169639772833743,0.6038200763627275,-0.03318508222277156,-0.23645311085624834,0.2724180728705136,-0.11975360160327397,0.4389234843086263,0.30658736706203793,0.15366212335474377,0.25742865892435557,0.18863981491109688,-0.10897992863403777,-0.031991516387498954,0.04009838071974807,-0.11730754872431076,0.09588999989366005,0.1769408789898955,0.07474393893689887,-0.010280323105774673
PC3,-0.02059574526380281,-0.0451772400967798,0.12908053801788116,-0.145712322935526,-0.05405819844157001,-0.024167836409962402,0.4724195944753673,0.2474882719420162,-0.06125475194511382,0.18429447291184797,-0.14766223003943998,-0.4484235372614088,-0.2497690118521027,-0.10648171284631935,-0.1757263087365882,-0.2541045753335403,-0.17895904151112804,-0.27100760870579843,-0.22532258171924543,-0.292721643982659
PC4,0.04624246978075187,0.07319593015854078,-0.368516281913481,0.2341808385558312,-0.04762796180572275,-0.08425459424097995,0.3543789372318584,0.5154391630186969,-0.028482319037592588,-0.09798362841563303,-0.12568622105405197,0.2040568996454001,0.1625973049163479,-0.2008888032607566,-0.08623739674348335,-0.04492463807900461,-0.008593713644377223,0.4977988026209985,-0.07885515499612711,0.05510565379794628
PC5,0.1345891561649443,0.09426843025900182,-0.01254636150050248,0.0073138477114040035,0.13776392451082992,-0.02014749210527808,0.23515492276239838,0.1274468689422738,-0.03493883541172127,0.10748038037588852,0.05779585067425879,0.5824576299276677,0.29604769031654016,0.1365778002643403,0.12783609511620936,-0.22265016288344516,-0.11695276471960683,-0.5823794224470594,-0.025281940043857854,0.02823367907017538
PC6,-0.010028154344902274,0.06666163935672287,0.02613468828870642,0.223072384563103,0.8315634996963017,0.0889954519541456,-0.24409857078644623,0.20829422143392726,0.08589190426212293,-0.10438281463442836,0.09064666469493313,-0.10666919052701174,-0.1933691804578259,-0.0400698288611279,-0.0875146648922481,-0.20047793985223486,-0.06259589016937962,-0.0009601562038433608,-0.09770851524422278,0.06663942680666671
PC7,-0.03013882256921625,0.0691765718106335,-0.18298279753747365,0.4462727807799288,-0.29638830761700513,0.10059894646610293,-0.18031011997596608,0.32823817625935414,0.06382222710439585,0.016908692269074575,-0.08944095510954789,-0.19663964490521596,-0.17997748379778186,0.13226841014020962,-0.11159606017556173,0.2677741953669848,-0.05902098594230695,-0.42673881020418203,0.0664858946847031,0.3851837641754639
PC8,0.3853598321455271,0.34585546222307595,0.19644756301093586,-0.08848777639244063,0.16224300854915394,-0.12180145256928811,0.058515799627394074,0.2015915767542577,-0.25576985187294404,-0.04815497452125689,-0.09711277656274536,-0.03455286399343268,-0.0248818080276942,0.4368827729643815,-0.07270561150964772,0.4864980992818909,0.061341682461481944,0.07098796370967725,0.08896070236348252,-0.2677839406357447
PC9,0.1439942753214236,0.15537789986853873,0.03983160238437767,-0.15709865506679518,0.0675362070593641,-0.05159277318184575,0.15959584975354382,0.01116912455584873,0.06356437043675348,-0.2754755776044473,0.07664137055700902,-0.034501485582410216,-0.01052439038271319,-0.5279537473392648,-0.15888294367466427,0.1397980126435298,0.613726087265534,-0.28249490739045124,0.13127812104232806,0.10824313087698136
