timestamp,actual,forecast,forecast_p10,forecast_p90
2024-01-01,1370.743302,1352.1311570000003,1358.3579732644257,1368.0403822739238
2024-02-01,1401.303058,1334.6144504792883,1340.6839733211257,1348.0158936441612
2024-03-01,1442.917854,1352.0184402962645,1355.809367787512,1361.89442952166
2024-04-01,1473.1578250000002,1372.9890455542743,1375.967977535278,1383.020242876629
2024-05-01,1527.547575,1423.2327712333808,1427.7126438142614,1436.9835598785119
2024-06-01,1603.249643,1408.4674839699953,1411.2385930167732,1420.8934815022503
2024-07-01,1566.832797,1367.3119961668665,1369.497777558691,1379.280365773486
2024-08-01,1530.4076140000002,1325.6228397506995,1324.9608544720754,1335.8393149881542
2024-09-01,1498.89207,1359.5667865746134,1359.8980661551373,1371.2999788601749
2024-10-01,1506.263154,1242.3196898138533,1242.8950836805545,1251.663092850517
2024-11-01,1581.085986,1251.80190998612,1255.810348539673,1263.3062969196328
2024-12-01,1591.55761,1175.736025337977,1180.247654434677,1188.191656578252
2025-01-01,1643.44917,1114.8529437686398,1117.8720966513226,1126.7714848815158
2025-02-01,1848.302187,992.6247763732657,995.7509312293341,1003.5614165626621
2025-03-01,1787.449125,1124.5652250551088,1129.032476274799,1134.0544104358466
2025-04-01,1463.3689749999999,1230.4181359002205,1233.5272297839406,1240.6354215629863
2025-05-01,1588.3953259999998,1319.263870935717,1324.1316743589537,1332.0755610169217
2025-06-01,1667.883046,1307.245397797264,1310.4929047264004,1316.7570106854578
2025-07-01,1632.842055,1237.061447460127,1238.0087981797847,1244.426008169087
2025-08-01,1456.397904,1100.1269888343652,1100.1000657457535,1109.5001324538869
2025-09-01,1634.041752,1197.5665359180498,1199.43948706156,1207.3624890592582
2025-10-01,1654.065972,1145.7781977356717,1149.013997058156,1155.0600140203578
2025-11-01,1705.957652,1198.8235820596149,1202.6858031720046,1209.218491676932
2025-12-01,1506.0933400000001,1182.8731653997017,1187.6981636775479,1194.586302697906
