scenario,category,MAE,RMSE,MAPE_%,R2
B5_neutral_supply_focus,B_Policy,74.62459794245832,99.45044635654884,4.611694087404264,0.23403002077822932
B1_policy_full_tight_moonjaein,B_Policy,81.32560633913435,102.72947892230604,5.197331019771301,0.1826869267104111
E2_replay_2017_2019_regulate,E_Replay,82.2852417232282,119.88633379334576,5.180553569898283,-0.11310884558730838
E3_replay_2020_2021_boom,E_Replay,129.35711649026658,181.69311911832554,8.1468120424266,-1.5566733012834182
C2_recession_imf_type,C_Macro,147.00063228531812,169.44690916390394,9.159183842264408,-1.2236456335541144
B3_demand_loose_tax_tight,B_Policy,152.62351495258156,190.6163986962522,9.299932839037156,-1.8139656753206421
E1_replay_2010_2014_stagnation,E_Replay,159.9978863155769,190.13918247319964,10.022737524476714,-1.7998935481110716
F3_demographic_decline,F_Structural,165.8996497749815,199.02192124339177,10.145047646862396,-2.067609711126146
B4_demand_tight_tax_loose,B_Policy,181.00509078425512,241.70635221131113,11.026927888288608,-3.524539702598946
A2_rate_gradual_hike,A_Rate,183.67108501830032,230.58150709747514,11.209259031742393,-3.11762907749681
baseline,Baseline,189.26695210100652,223.78993083997537,11.590735486335497,-2.8786389944254838
Baseline_Actual,Baseline,193.07663125376436,227.2488739258783,11.83222252151278,-2.999463659240161
F1_inflation_grind_higher,F_Structural,204.30566231996167,237.99762164916342,12.542611883163948,-3.386756309839483
E4_replay_2022_shock,E_Replay,205.96317450461933,271.9435102558506,13.194789048375114,-4.727375712507581
F5_secular_high_rate,F_Structural,209.49391354782563,256.3665737984529,12.828774114955262,-4.090038577380405
F2_inflation_grind_low,F_Structural,211.66378093041703,245.63955668100456,13.002509319627077,-3.6729903595715943
F6_japan_lost_decade,F_Structural,212.58314534749908,246.2664258939517,13.397905137289898,-3.696871624188538
A3_rate_gradual_cut,A_Rate,226.25801744488433,265.465508789404,13.885796559468503,-4.45776057750959
C4_goldilocks,C_Macro,227.57982127567047,258.08723984485226,14.039803549923077,-4.1585939120295174
C1_stagflation_70s,C_Macro,235.94324107179708,266.71218463140656,14.554761160869885,-4.509142279499319
F4_secular_low_rate,F_Structural,242.52147344534873,290.9050821312704,14.883857717507421,-5.553916322059075
A1_rate_shock_hike_2022,A_Rate,243.939964468307,298.9120079221239,14.972863786829485,-5.919663876430146
D1_supply_shortage,D_Supply,244.8564568268035,283.17131881331187,15.071204147372349,-5.2100743836721035
D2_supply_glut,D_Supply,264.5762118775973,325.29619228043344,16.222483054047235,-7.195137311714802
D3_jeonse_crisis,D_Supply,276.469485982984,321.7880337408053,17.025280150495174,-7.0193294466689675
E5_replay_2023_2025_recovery,E_Replay,317.44353609303386,348.41358345119426,19.689041885661528,-8.401311265835547
A4_rate_zero_lower_covid,A_Rate,320.35253653929976,374.05113399047923,19.771340931063342,-9.835781190934858
F7_korea_1986_1991_boom,F_Structural,327.8825307536842,361.5560555658405,20.333500868661048,-9.123939816812657
B2_policy_full_loose_current,B_Policy,332.9624243857913,365.91319306263705,20.653727051720562,-9.369418723273684
D4_transaction_cliff,D_Supply,384.18013636985523,441.0734146701031,23.779802558603176,-14.066765845668522
C3_recovery_v_shape,C_Macro,478.0449411903107,533.1865114853205,29.69533018611394,-21.016920969059484
