scenario,category
baseline,Baseline
A1_rate_shock_hike_2022,A_Rate
A2_rate_gradual_hike,A_Rate
A3_rate_gradual_cut,A_Rate
A4_rate_zero_lower_covid,A_Rate
B1_policy_full_tight_moonjaein,B_Policy
B2_policy_full_loose_current,B_Policy
B3_demand_loose_tax_tight,B_Policy
B4_demand_tight_tax_loose,B_Policy
B5_neutral_supply_focus,B_Policy
C1_stagflation_70s,C_Macro
C2_recession_imf_type,C_Macro
C3_recovery_v_shape,C_Macro
C4_goldilocks,C_Macro
D1_supply_shortage,D_Supply
D2_supply_glut,D_Supply
D3_jeonse_crisis,D_Supply
D4_transaction_cliff,D_Supply
E1_replay_2010_2014_stagnation,E_Replay
E2_replay_2017_2019_regulate,E_Replay
E3_replay_2020_2021_boom,E_Replay
E4_replay_2022_shock,E_Replay
E5_replay_2023_2025_recovery,E_Replay
F1_inflation_grind_higher,F_Structural
F2_inflation_grind_low,F_Structural
F3_demographic_decline,F_Structural
F4_secular_low_rate,F_Structural
F5_secular_high_rate,F_Structural
F6_japan_lost_decade,F_Structural
F7_korea_1986_1991_boom,F_Structural
