feature,diff_applied,last_level
ecos__base_rate,True,3.5
ecos__cd_91d_rate,True,3.83
ecos__cpi_housing,True,113.72
ecos__mortgage_rate_new,True,4.16
ecos__unemployment_rate,True,3.05
reb__apt_jeonse_avg_price,True,794.6913326
reb__apt_jeonse_supply_demand,True,93.96004481
reb__apt_monthly_rent_supply_demand,False,
reb__apt_sale_avg_price,True,1352.131157
reb__apt_sale_index,True,158.37847
reb__apt_sale_supply_demand,True,83.04705004
policy__dsr_regime,False,
policy__dti_regime,False,
policy__ltv_regime,False,
policy__real_estate_policy_regime,False,
policy__capital_gains_tax_regime,False,
policy__adjustment_target_area_regime,False,
policy__comprehensive_real_estate_tax_regime,False,
policy__acquisition_tax_regime,False,
policy__speculative_overheated_district_regime,False,
policy__speculative_zone_regime,False,
