timestamp,forecast,forecast_p10,forecast_p90,actual,dong
2024-01-01,1357.122280738361,1355.9133346711742,1357.6361255440324,1370.743302,개포동
2024-02-01,1369.5963468207447,1367.3197169499388,1370.8664085688265,1401.303058,개포동
2024-03-01,1374.0077620552097,1370.3335310687955,1375.8591827721334,1442.917854,개포동
2024-04-01,1423.9627835548808,1418.9714916635971,1426.6278045024037,1473.157825,개포동
2024-05-01,1415.0612048856206,1409.2486973236869,1418.8881281828537,1527.547575,개포동
2024-06-01,1398.1710907700071,1391.5267359722948,1402.0609807001047,1603.249643,개포동
2024-07-01,1390.6737173910792,1382.70562787107,1394.8083119182222,1566.832797,개포동
2024-08-01,1370.1120157051769,1361.7494173386378,1375.324477117563,1530.407614,개포동
2024-09-01,1367.0724311467561,1358.3180487943569,1372.3776726703509,1498.89207,개포동
2024-10-01,1304.1119196322986,1294.5857062283333,1311.4537347485777,1506.263154,개포동
2024-11-01,1301.1670161092622,1289.976259968942,1308.9720440329152,1581.085986,개포동
2024-12-01,1374.7921957045498,1362.466496519009,1382.8323425269289,1591.55761,개포동
2025-01-01,1387.4349309536037,1375.204604551422,1398.2382346392224,1643.44917,개포동
2025-02-01,1372.6922923543298,1358.5789016207264,1382.563439611332,1848.302187,개포동
2025-03-01,1371.7140086954416,1358.3058808220112,1383.6374243012317,1787.449125,개포동
2025-04-01,1299.2278598291634,1285.361883185868,1311.316826855184,1463.368975,개포동
2025-05-01,1303.8071327196833,1287.7169138029035,1315.9594285341752,1588.395326,개포동
2025-06-01,1326.0690092855411,1309.427042714281,1338.429383642895,1667.883046,개포동
2025-07-01,1321.433187479684,1303.4626754081605,1333.619870670846,1632.842055,개포동
2025-08-01,1272.973923913446,1254.7133533670137,1285.4380548442612,1456.397904,개포동
2025-09-01,1272.9148395245315,1254.025548210534,1286.4027600699073,1634.041752,개포동
2025-10-01,1327.5166773997082,1307.737014718523,1341.9411080517048,1654.065972,개포동
2025-11-01,1328.5645224870232,1307.23838537149,1344.9703897435638,1705.957652,개포동
2025-12-01,1317.0213778166078,1295.9277323266933,1333.668971403651,1506.09334,개포동
